key_conf,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,duration
0,29.145,-45.676,-16.199,22.611,27.97,61.567,7.948,-51.583,-26.377,48.776,59.157,-11.955,0.40512
0,34.659,-65.605,-41.146,-36.985,59.705,-16.427,-49.304,-50.102,-8.216,7.806,6.12,16.49,0.40803000000000006
0,35.143,-52.838,-43.397,50.171,52.621,-1.057,-62.918,-32.382,4.926,-25.571,-15.552,-1.095,2.46005
0,21.914,-131.376,-23.414,-4.089,40.884,-32.704,-43.598,6.521,-23.255,-12.627,-11.446,-6.34,1.1920599999999997
0,14.945,-111.657,-56.446,-76.586,97.146,-45.312,-25.273,-21.037,-41.716,-4.466,0.548,3.138,0.34694
0,29.512,-36.083,-38.235,-25.642,-5.33,-21.845,-41.507,-45.191,-5.983,22.041,1.554,-19.013,0.25424000000000024
0,27.526,-116.392,-12.868,-41.45,15.137,-29.501,-45.274,-6.498,12.864,-6.478,3.597,4.489,0.14027000000000012
0,33.961,-22.287,-44.554,-24.599,49.928,-24.278,-49.377,-9.417,-14.416,6.76,6.859,16.212,0.38449000000000044
0,35.114,20.201,-33.468,-56.67,58.832,-3.677,-29.043,-3.291,-16.848,-37.331,8.553,1.57,0.2259000000000002
0,35.118,-69.298,-27.116,19.55,43.048,-24.27,-60.554,-38.561,-8.503,-2.649,-23.081,4.684,1.3636299999999997
0,38.613,-103.992,12.496,-179.84,68.322,28.267,-9.13,32.691,-9.871,19.081,21.385,-15.762,0.36385000000000023
0,43.338,-56.276,-46.546,53.791,49.239,-22.777,-67.508,29.285,7.009,5.293,-66.808,-4.552,0.25192999999999977
0,38.818,-51.804,-63.455,-44.406,94.281,24.357,-29.4,-29.538,-33.684,48.143,10.386,-8.798,0.28372000000000064
0,40.365,-66.476,-25.8,-42.624,102.773,-27.476,-37.864,19.74,2.272,-7.48,-16.725,7.397,0.1600999999999999
0.048,40.365,-66.476,-25.8,-42.624,102.773,-27.476,-37.864,19.74,2.272,-7.48,-16.725,7.397,0.10665999999999976
0.048,38.661,-46.186,-75.789,-49.757,70.111,-33.142,-34.299,-51.915,-7.199,14.009,3.234,11.019,0.21569000000000038
0.048,38.745,-38.857,-65.837,-74.295,19.12,-39.931,-41.648,37.408,-2.446,-21.664,9.341,-8.463,0.20289999999999964
0.048,37.667,-42.556,-101.725,-10.537,24.542,-38.146,-54.567,-32.807,-7.28,7.32,-24.284,-5.156,0.21329000000000065
0.048,33.424,-100.041,-122.473,-47.398,57.365,-57.756,-26.067,-2.468,-20.63,-6.319,2.304,-6.827,0.2209500000000002
0.048,34.889,-62.569,-95.645,-40.216,23.801,-41.151,-33.289,-37.25,-8.872,6.248,-5.834,10.578,0.3740100000000002
0.048,34.805,-66.748,-23.791,-12.46,21.579,-46.438,-47.296,-4.833,-23.738,13.216,1.153,6.074,0.5907900000000001
0.048,35.395,-113.233,-51.574,-91.714,66.385,-20.435,-12.689,-18.117,-22.66,13.907,-20.247,20.363,0.1912900000000004
0.048,41.154,-25.334,-61.907,-53.567,23.954,-41.765,-70.988,-0.208,16.541,-1.39,0.714,0.506,0.20921000000000056
0.048,40.015,130.525,-55.438,-25.638,80.765,-17.661,-61.379,-28.53,6.563,-22.813,-34.787,9.316,0.19740999999999964
0.048,38.415,7.921,-10.249,-80.773,29.96,-7.179,-20.789,-25.057,-27.703,14.994,-3.559,-9.904,0.4332899999999995
0.048,41.814,-74.891,-20.074,-42.17,60.821,-48.253,-3.777,-0.858,-12.309,9.389,-15.652,-18.792,0.15836999999999968
0.048,42.95,35.193,-52.17,-31.803,121.346,-53.875,18.303,2.191,12.204,-18.349,-9.316,-20.721,0.30280999999999914
0.048,39.936,-76.041,-89.513,-3.389,74.826,-28.505,-48.82,-13.687,6.49,-10.401,-23.659,7.441,1.4828100000000006
0.048,30.42,-135.743,-42.816,-29.715,14.482,1.231,8.689,-1.701,35.538,-32.147,-20.7,-23.741,0.41586999999999996
0.048,35.071,-67.167,6.281,-193.828,78.151,-4.341,19.562,-15.208,1.924,-15.973,6.633,-24.26,0.5140100000000007
0.048,39.429,59.823,-53.324,-53.719,175.879,-52.029,-11.595,9.559,38.512,-32.087,9.541,0.621,0.0885700000000007
0.048,41.743,99.295,18.589,-54.277,140.44,-26.571,-14.738,-14.59,3.446,9.441,-19.258,-18.367,0.10384999999999955
0.048,43.816,67.904,18.547,-12.906,56.844,-19.432,-57.077,-10.379,16.913,29.097,-5.695,2.004,0.22775999999999996
0.048,46.871,15.028,-14.179,0.087,39.615,-30.105,-56.965,37.865,11.391,-0.662,-10.21,-20.646,0.2721499999999999
0.048,42.817,-27.203,-32.971,12.969,50.012,-8.568,-19.081,-12.305,-33.203,20.103,-47.591,-21.908,1.6060800000000004
0.048,31.99,-93.761,-50.888,-52.437,-5.612,-13.501,14.543,-4.506,14.666,-12.559,-7.836,-8.089,0.24099999999999966
0.048,34.232,-3.963,-60.978,-84.127,10.985,-23.016,18.391,20.53,18.774,-24.146,4.596,-0.66,0.18988999999999834
0.048,45.565,38.299,-31.511,-34.033,86.168,-18.81,-35.34,-42.816,20.775,30.3,-17.656,19.737,0.4480700000000013
0.048,42.315,3.366,-30.905,11.423,120.566,-26.157,-41.782,19.424,6.562,15.739,-26.243,11.991,0.33618999999999843
0.048,39.706,-61.614,-56.062,-45.941,49.664,-29.893,-51.419,-8.95,3.336,17.331,9.45,0.979,0.12221999999999866
0.048,44.278,-79.523,-26.552,-29.274,86.185,-11.747,-17.48,-3.122,-2.2,-12.1,-16.66,-13.241,0.2617699999999985
0.048,40.437,-64.074,-74.015,-48.156,63.733,-10.989,-63.443,-19.529,26.605,-8.275,0.299,17.652,0.20317000000000007
0.048,38.841,-85.979,-38.017,-50.251,53.184,-42.223,-76.013,18.079,16.224,-15.947,14.554,-2.505,0.15128999999999948
0.048,38.938,-61.126,-48.692,-49.547,53.204,-37.028,-87.005,-9.188,41.887,2.067,-2.23,19.876,0.4065800000000017
